year,elec_consumption_twh,Electricity consumption/population,gen_coal_twh,gen_oil_twh,gen_gas_twh,gen_hydro_twh,gen_solar_twh,gen_wind_twh,gen_total_twh,gen_fossil_twh,gen_renewable_twh,re_penetration_pct,fossil_share_pct,elec_industry_tj,elec_transport_tj,elec_residential_tj,elec_commercial_tj,elec_agriculture_tj,Other non-specified,Production,Total final consumption,Coal and coal products,Natural gas,Hydropower,Biofuels and waste,Oil and oil products,"Solar, wind and other renewables",Net imports,Electricity and heat producers,Other energy industries,Transport Sector,Industry Sector,Commercial and Public Services,Residential,Agriculture/Forestry,Fishing,Non-specified (Other),co2_intensity_power_gco2kwh,sc_elec_prod_twh,sc_elec_supply_twh,capacity_total_mw,capacity_thermal_mw,capacity_hydro_mw,sc_solar_twh,sc_wind_twh,sc_gas_prod_tj,sc_gas_cons_tj,sc_elec_industry_gwh,sc_elec_agriculture_gwh,sc_elec_transport_gwh,sc_elec_housing_gwh,irena_cap_coal_and_peat,irena_cap_natural_gas,irena_cap_oil,irena_cap_onshore_wind_energy,irena_cap_renewable_hydropower,irena_cap_solar_photovoltaic,irena_cap_total_non-renewable,irena_cap_total_renewable,irena_gen_twh_coal_and_peat,irena_gen_twh_natural_gas,irena_gen_twh_oil,irena_gen_twh_onshore_wind_energy,irena_gen_twh_renewable_hydropower,irena_gen_twh_solar_photovoltaic,irena_gen_twh_total_non-renewable,irena_gen_twh_total_renewable,irena_re_share_capacity_pct,irena_re_share_generation_pct,wb_gdp_const2015_usd,wb_gdp_growth_pct,wb_population,wb_urban_pop_pct,wb_industry_va_const_usd,wb_co2_total_mt,wb_co2_power_mt,wb_elec_pc_kwh,wb_td_losses_pct,wb_re_share_pct,wb_gdp_const2015_bn_usd,wb_industry_va_const_bn_usd,elec_consumption_twh_bridged,gen_total_twh_bridged,gas_self_sufficiency_pct,is_preliminary,data_status
1990,48.88,2.388,4.159,2.489,43.029,6.648000000000001,,,56.32500000000001,49.67700000000001,6.648000000000001,11.802929427430092,88.1970705725699,78465.0,4464.0,12751.0,5281.0,53578.0,,1535495.0,915738.0,141766.0,1360328.0,23932.0,149.0,465826.0,,366.052,43.805,3.397,7.685,0.411,0.0,0.003,0.439,0.0,62.025,97.420108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32109736981.464397,1.6000000058370176,20464956.0,40.7715937023416,8599579556.046648,127.8534,43.8052,2388.4732515427836,9.388371060807813,11.802929427430094,32.109736981464394,8.599579556046647,48.88,56.32500000000001,,0,confirmed
1991,48.713,2.324,4.0,4.82,39.314,6.031,,,54.165,48.134,6.031,11.134496446044494,88.8655035539555,72475.0,5731.0,15019.0,5461.0,56073.0,,1576893.0,940426.0,146895.0,1397003.0,21711.0,152.0,447037.0,,373.337,43.79,3.41,6.936,0.387,0.0,0.003,0.436,0.0,63.62,101.271956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31951757073.85774,-0.49200000516307796,20962910.0,41.0845226123885,8947505408.53719,128.1201,43.791,2323.7708886791,9.363980430167082,11.134496446044494,31.95175707385774,8.94750540853719,48.713,54.165,,0,confirmed
1992,45.651,2.125,2.49,3.5,38.64,6.281,,,50.911,44.63,6.281,12.337215925831352,87.66278407416866,68839.0,4521.0,22294.0,9691.0,39628.0,,1626514.0,884902.0,103780.0,1405927.0,22611.0,156.0,357266.0,,187.945,45.095,3.148,5.429,0.304,0.0,0.003,0.298,0.0,56.303,109.773108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28373160282.443256,-11.199999997315999,21485090.0,41.5298766018746,7252916927.787911,119.4667,45.095,2124.775832914826,9.36929150871128,12.337215925831353,28.373160282443255,7.252916927787911,45.651,50.911,,0,confirmed
1993,44.284,2.014,3.186,1.84,36.765,7.3580000000000005,,,49.149,41.791,7.3580000000000005,14.970803068221125,85.02919693177887,65386.0,3923.0,25484.0,8492.0,38149.0,,1706331.0,950018.0,78799.0,1480284.0,26488.0,159.0,377438.0,,173.417,44.242,2.866,4.773,0.265,0.0,0.003,0.216,0.0,59.003,111.677106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27720577594.701557,-2.30000000438973,21987955.0,42.0894314135234,6796164105.541216,119.2808,44.2426,2014.011762348977,9.070377830678142,14.970803068221123,27.720577594701556,6.796164105541216,44.284,49.149,,0,confirmed
1994,43.064,1.917,3.972,1.554,35.118,7.156000000000001,,,47.800000000000004,40.644000000000005,7.156000000000001,14.97071129707113,85.02928870292888,63590.0,3999.0,24785.0,8074.0,37101.0,,1787641.0,1054338.0,79852.0,1513362.0,25761.0,163.0,321795.0,,4.815,39.036,2.715,4.271,0.228,0.0,0.003,0.182,0.0,58.634,100.090037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26279107561.698933,-5.199999993067038,22463291.0,42.7449627900584,6048022788.533813,113.6737,39.0369,1917.0832982575882,9.071129707112972,14.97071129707113,26.279107561698932,6.048022788533814,43.064,47.800000000000004,,0,confirmed
1995,42.02,1.833,1.639,5.327,34.299,6.188,,,47.453,41.265,6.188,13.040271426464079,86.95972857353591,51839.0,4917.0,24310.0,12729.0,42677.0,,1658147.0,890187.0,44690.0,1280769.0,22276.0,165.0,300946.0,,-153.404,33.891,1.867,6.862,13.58,4.73,24.63,0.619,0.0,8.398,88.324143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26042595592.20842,-0.9000000054614503,22917589.0,43.4782464742032,5736452868.87809,104.912,33.8914,1833.5262055707517,8.730744104693065,13.04027142646408,26.04259559220842,5.73645286887809,42.02,47.453,,0,confirmed
1996,42.45,1.818,1.827,5.069,31.998,6.525,,,45.419,38.894,6.525,14.366234395297123,85.63376560470289,50651.0,5032.0,25646.0,11365.0,45863.0,,1670457.0,889470.0,50109.0,1336171.0,23490.0,169.0,292090.0,,-190.039,33.784,4.195,9.365,10.535,2.961,29.205,3.804,0.0,1.813,90.685187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26485319718.073395,1.70000000306203,23351981.0,44.2710582086815,5819587178.452868,108.1291,33.784,1817.832928178556,8.941192012153504,14.366234395297123,26.485319718073395,5.819587178452869,42.45,45.419,,0,confirmed
1997,42.975,1.809,1.881,5.4830000000000005,32.913000000000004,5.777,,,46.054,40.277,5.777,12.54397012203066,87.45602987796934,53715.0,4615.0,25455.0,10868.0,45529.0,,1747455.0,904324.0,41208.0,1359063.0,20797.0,171.0,312827.0,,-268.039,34.232,4.036,9.487,7.821,5.978,30.224,3.813,0.0,1.362,93.785636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27862556342.50318,5.199999996564017,23758960.0,45.1051737362168,5974277914.191144,108.0143,34.2325,1808.791293895019,8.702827115994268,12.54397012203066,27.862556342503183,5.974277914191144,42.975,46.054,,0,confirmed
1998,41.959,1.739,1.875,5.465,32.802,5.793,,,45.934999999999995,40.141999999999996,5.793,12.61129857407206,87.38870142592793,53506.0,4597.0,25358.0,10825.0,45352.0,,1868339.0,1149971.0,39905.0,1453109.0,20854.0,175.0,293545.0,,-179.53,36.901,4.401,12.936,15.811,6.637,33.487,0.429,0.0,1.717,98.781636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29060646265.526962,4.30000000106287,24134929.0,45.9623687995325,6112616140.976316,123.4347,36.9015,1738.5176480113118,9.038859257646676,12.53510395123544,29.060646265526962,6.112616140976317,41.959,45.934999999999995,,0,confirmed
1999,42.369,1.731,1.852,4.847,31.613,7.059,,,45.370999999999995,38.312,7.059,15.558396332459063,84.44160366754095,54028.0,4643.0,25606.0,10929.0,45795.0,,1895312.0,1198959.0,38488.0,1515012.0,25412.0,137.0,305235.0,,-161.108,35.121,4.615,13.498,16.368,6.92,34.947,0.417,0.0,1.538,95.385214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30310254055.465958,4.300000001793961,24476008.0,46.8244191413524,6241177021.938476,124.2258,35.1199,1731.0420882359574,9.241586035132574,12.545458552820083,30.310254055465958,6.2411770219384755,42.369,45.370999999999995,,0,confirmed
2000,43.808,1.767,1.913,4.707,36.714,3.528,,,46.861999999999995,43.333999999999996,3.528,7.528487900644447,92.47151209935555,55864.0,4798.0,26478.0,11300.0,47350.0,,1923274.0,1245661.0,46706.0,1574028.0,12700.0,172.0,303592.0,,-177.437,38.674,4.764,13.504,16.932,7.189,36.672,0.434,0.0,1.99,100.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1596.0,0.0,10600.0,1596.0,1.915,34.358000000000004,4.712,0.0,5.8790000000000004,0.0,40.985,5.8790000000000004,13.09,12.54,31472652298.53561,3.835000000140326,24787054.0,47.6731005044,6352141203.264813,131.5221,38.6731,1767.3742107472715,9.250565490162604,12.545345909265503,31.47265229853561,6.3521412032648135,43.808,46.861999999999995,,0,confirmed
2001,41.093,1.638,1.958,4.753,36.892,4.356,,,47.959,43.603,4.356,9.08275818928668,90.9172418107133,52912.0,4413.0,15879.0,6422.0,53114.0,,1957817.0,1269113.0,39119.0,1603663.0,15681.0,172.0,302023.0,,-176.139,38.292,4.808,13.9,17.072,7.325,37.327,0.426,0.0,1.612,97.331625,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1596.0,0.0,10600.0,1596.0,1.94,34.887,4.714,0.0,5.9590000000000005,0.0,41.541000000000004,5.9590000000000005,13.09,12.55,32783122633.228046,4.163838249988899,25090283.0,48.4901886313987,6536077694.415885,132.6334,38.2915,1637.8053607446357,15.344356637961592,12.425196522029234,32.78312263322805,6.536077694415885,41.093,47.959,,0,confirmed
2002,41.205,1.622,2.017,4.649,36.707,6.024,,,49.397000000000006,43.373000000000005,6.024,12.195072575257605,87.8049274247424,53661.0,4359.0,14522.0,5374.0,54950.0,,2035361.0,1321499.0,41647.0,1669858.0,21686.0,163.0,300525.0,,-125.353,38.274,4.981,13.411,17.851,7.627,39.191,0.456,0.0,1.812,95.280227,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1596.0,0.0,10600.0,1596.0,2.0140000000000002,36.465,4.6450000000000005,0.0,6.186,0.0,43.124,6.186,13.09,12.55,34085756140.145355,3.9734881923572374,25399980.0,49.2574592650723,6758304736.23826,136.8801,38.2733,1622.2453718467495,16.415976678745672,12.52302771423366,34.08575614014536,6.7583047362382604,41.205,49.397000000000006,,0,confirmed
2003,40.145,1.561,1.99,4.181,34.402,8.169,,,48.742000000000004,40.573,8.169,16.759673382298633,83.24032661770136,52387.0,4251.0,15019.0,5450.0,52120.0,,1979901.0,1274482.0,32531.0,1610446.0,29408.0,144.0,295173.0,,-202.85,35.409,4.823,12.18,17.042,7.356,37.608,0.438,0.0,1.322,91.028002,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1599.0,0.0,10752.0,1599.0,2.0180000000000002,35.521,4.241,0.0,7.62,0.0,41.78,7.62,12.95,15.43,35528479187.73934,4.232627381543637,25711259.0,49.9566881481443,6973014055.504785,128.9701,35.4077,1561.3782273361253,17.625456485166797,15.633334701079152,35.52847918773934,6.973014055504785,40.145,48.742000000000004,,0,confirmed
2004,40.345,1.55,2.029,3.9050000000000002,37.665,6.1000000000000005,,,49.699,43.599,6.1000000000000005,12.273888810640054,87.72611118935994,51105.0,4690.0,15537.0,5187.0,53211.0,,2060585.0,1275486.0,43767.0,1611716.0,21960.0,132.0,268078.0,,-278.925,38.429,4.774,12.179,16.986,7.362,37.603,0.437,0.0,1.36,96.736879,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1751.0,0.0,10750.0,1751.0,2.043,35.015,3.932,0.0,9.01,0.0,40.99,9.01,14.01,18.02,38174995817.59332,7.449000605596638,26029350.0,50.5696510233382,7383282020.15368,132.1457,38.4279,1549.981079051148,18.320288134570113,18.129137407191294,38.17499581759332,7.38328202015368,40.345,49.699,,0,confirmed
2005,39.333,1.492,1.946,3.158,33.634,8.927,,,47.665,38.738,8.927,18.72862687506556,81.27137312493444,50155.0,4942.0,16750.0,5587.0,49294.0,,2070678.0,1216992.0,41480.0,1537802.0,32137.0,151.0,228040.0,,-359.269,34.661,4.473,12.216,16.226,7.024,35.899,0.419,0.0,1.43,92.528375,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1709.0,0.0,10749.0,1709.0,2.009,35.298,3.263,0.0,8.63,0.0,40.57,8.63,13.72,17.54,40828160773.8708,6.950007195690972,26356975.0,51.0781236333777,7776139095.960122,125.5292,34.6601,1492.3184470145,16.89289835308927,18.105528165320468,40.8281607738708,7.776139095960122,39.333,47.665,,0,confirmed
2006,42.326,1.585,2.016,2.892,39.765,4.7,,,49.373000000000005,44.673,4.7,9.519372936625281,90.48062706337473,51663.0,4654.0,18208.0,5878.0,56606.0,,2158530.0,1266121.0,45305.0,1599882.0,16920.0,158.0,238745.0,,-392.554,39.071,4.632,12.94,16.914,7.308,37.24,0.436,0.0,1.556,98.770636,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1710.0,0.0,10749.0,1710.0,2.081,36.694,2.985,0.0,9.16,0.0,41.76,9.16,13.73,17.99,43870437889.274864,7.4514184762176825,26699043.0,51.4638817209862,8388751597.468928,134.4224,39.07,1585.3002671294248,13.418265043647338,18.552650233933527,43.87043788927486,8.388751597468929,42.326,49.373000000000005,,0,confirmed
2007,43.441,1.604,2.001,2.0460000000000003,40.298,4.666,,,49.010999999999996,44.345,4.666,9.520311766746243,90.47968823325377,49827.0,4579.0,23191.0,5162.0,57938.0,,2236960.0,1229063.0,39034.0,1553055.0,16797.0,165.0,244768.0,,-429.314,38.266,4.208,13.093,16.405,7.094,36.006,0.422,0.0,1.585,98.103608,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1710.0,0.0,10756.0,1710.0,2.0,38.506,2.044,0.0,6.4,0.0,42.550000000000004,6.4,13.72,13.07,48026286798.048,9.473005305445398,27076008.0,51.7087010288873,9092932537.779333,131.3948,38.2647,1604.4093353791297,13.38271000387668,13.058293036257169,48.026286798048,9.092932537779333,43.441,49.010999999999996,,0,confirmed
